ID,SKU,Quantity,Price,Total,Profit,Margin
3.0,finish 40 tablettes,2,84.0,100.0,16.0,0.0
4.0,FINISH 10 TABS,10,125.0,180.0,55.0,0.0
5.0,A+ OPTIMAL,1,95.0,110.0,15.0,0.0
6.0,FINISH 125 TABS,2,250.0,280.0,30.0,0.0
8.0,FINISH 50 PASTILLAS,2,120.0,140.0,20.0,0.0
9.0,FINISH SAL 2KG,11,330.0,440.0,110.0,0.0
10.0,FINISH GEL 50,2,110.0,110.0,0.0,0.0
12.0,FINISH ABRILLANTADOR,1,45.0,55.0,10.0,0.0
13.0, FINISH RINSE SHUNE AID,3,84.0,105.0,21.0,0.0
14.0,ARIEL QUITAMANCHAS,1,30.0,35.0,5.0,0.0
15.0,ARIEL ALLIN1 PODS,1,95.0,110.0,15.0,0.0
18.0,FIGHTER SIGNAL,1,17.0,25.0,8.0,0.0
19.0,VANISH 1L ,5,140.0,175.0,35.0,0.0
20.0,ACE SGRASSATORE,1,25.0,30.0,5.0,0.0
21.0,AGERUL,4,108.0,123.0,15.0,0.0
22.0,GOTA GOTA,10,120.0,150.0,30.0,0.0
23.0,FLOR TWIST 1.5L,1,25.0,30.0,5.0,0.0
24.0,BANG HIGINE,1,22.0,28.0,6.0,0.0
27.0,NIKI SERVILLETAS,2,23.0,30.0,7.0,0.0
28.0,NIKI MOUCHOIRS,2,28.0,40.5,12.5,0.0
31.0,ARIEL PROFESSIONAL 100,1,130.0,150.0,20.0,0.0
39.0,BR2 Floral 66,1,60.0,75.0,15.0,0.0
40.0,BR2 Gel ACTIVO,1,60.0,75.0,15.0,0.0
41.0,Lavandera DE CEREZO 90,3,204.0,270.0,66.0,0.0
42.0,Lavandera,3,204.0,270.0,66.0,0.0
43.0,Lavandera Silvestres 90,5,340.0,450.0,110.0,0.0
44.0,COLON Vanish 64,1,85.0,95.0,10.0,0.0
47.0,flota oceanico 90,10,700.0,770.0,70.0,0.0
48.0,flota Marsella 90,5,350.0,375.0,25.0,0.0
49.0,flota Esencia 90,8,560.0,630.0,70.0,0.0
54.0,Niki ultra Soft,8,200.0,216.0,16.0,0.0
55.0,Niki Nature 12 p,1,49.33,55.0,5.67,0.0
56.0,Niki Naxi Rollo 12,1,50.0,58.0,8.0,0.0
57.0,Niky Elite,5,125.0,162.0,37.0,0.0
58.0,Niky Seleccion,1,40.0,48.0,8.0,0.0
59.0,Niky Nature 6 ps,3,77.13,96.0,18.87,0.0
61.0,Niky paper 1<15,4,196.0,220.0,24.0,0.0
62.0,Niky paper 2p,27,598.32,675.0,76.68,0.0
63.0,Amoos Super Roll,1,26.0,33.0,7.0,0.0
64.0,Niky Mega,21,283.5,315.0,31.5,0.0
65.0,Niky Extraf,3,108.0,135.0,27.0,0.0
66.0,Niky infinita,3,75.0,90.0,15.0,0.0
67.0,ACE PROTECCION 2L,13,214.5,260.0,45.5,0.0
68.0,LAGARTO Spa,4,48.0,60.0,12.0,0.0
69.0,LAGARTO Lejia Pino 1.5L,2,30.0,36.0,6.0,0.0
70.0,LAGARTO flor de cerezo 1.5l,2,24.0,30.0,6.0,0.0
72.0,LAGARTO lavando 1.5L,5,60.0,75.0,15.0,0.0
73.0,LAGARTO limon 1.5L ,3,45.0,54.0,9.0,0.0
74.0,LAGARTO VINAGRE 1L,5,70.0,90.0,20.0,0.0
76.0,LIDA GEL DOUCH 600ML,1,32.0,38.0,6.0,0.0
78.0,LAGARTO Jabon Natural 300g,1,11.0,15.0,4.0,0.0
81.0,floor LAVE VAISSELLE 1300ml,4,72.0,92.0,20.0,0.0
83.0,ALEXE Lave Sols 1.5L,6,162.0,210.0,48.0,0.0
84.0,MEGA Foxy 200 FAMILY PACK,2,30.0,36.0,6.0,0.0
85.0,Mundo Floral 3 UNIDADES,8,72.0,104.0,32.0,0.0
86.0,Mundo Floral 4 UNIDADES ,5,37.5,50.0,12.5,0.0
87.0,ALEXE LAVE VITRES,2,26.0,36.0,10.0,0.0
90.0,FOXY 6 MAXI ROLLO,1,27.0,33.0,6.0,0.0
92.0,FOXY TORNADO STRONG,4,188.0,220.0,32.0,0.0
93.0,Denens CHampü 500 ml,1,27.0,35.0,8.0,0.0
94.0,BUHLER LAVE-LINGE,3,78.0,99.0,21.0,0.0
95.0,ALEX GEL WC Marin,6,96.0,144.0,48.0,0.0
96.0,ALEXE GEL WC Eau de javel,2,32.0,48.0,16.0,0.0
97.0,ALEXE GEL WC Spa,1,16.0,24.0,8.0,0.0
98.0,Floor Savon Marseille 5L,4,260.0,320.0,60.0,0.0
99.0,Floor Ropa color 5L,1,67.0,85.0,18.0,0.0
100.0,Floor Concentre plus 5L,1,67.0,85.0,18.0,0.0
104.0,Floor nenuco 59 LAVADOS,1,25.0,30.0,5.0,0.0
107.0,Finish  power GEL 35,1,44.0,54.0,10.0,0.0
108.0, ALEX Nettoyant PARQUET 750 ML,2,44.0,60.0,16.0,0.0
109.0,ALEX parquet 1.5L,6,162.0,210.0,48.0,0.0
110.0,BENGAL 400 ml,4,154.08,201.01,46.93,0.0
111.0,PAPIER CUISSON 8M,3,41.22,51.0,9.78,0.0
112.0,ALUMINUM 20 M,11,215.16,253.0,37.84,0.0
113.0,SACS DE CONGELATION,2,28.44,36.0,7.56,0.0
114.0,FILM ALIMENTAIRE 30 Metres,2,17.52,26.0,8.48,0.0
117.0,ZENTEK GEL 20 gr,2,73.56,100.0,26.44,0.0
119.0,ZENTEK RECHARGE 30 NUITS ,2,46.0,60.0,14.0,0.0
120.0,ZENTEK DIFF +30 NUITS ,1,26.88,40.0,13.12,0.0
121.0,ZENTEK PROTETION,1,92.82,115.0,22.18,0.0
122.0,FLamX 48 CUBES,1,9.72,13.0,3.28,0.0
123.0,SAC CONGLATUON GM 10,3,49.14,60.0,10.86,0.0
124.0,ZENTEK  INSECTICIDE 750ML,2,49.08,60.0,10.92,0.0
126.0,ZENTEK 200 ML,2,20.88,24.01,3.13,0.0
127.0,ZENTEK 200 ML,1,10.44,15.0,4.56,0.0
128.0,Sacs poubelle 15 litre,5,50.1,65.0,14.9,0.0
129.0,Sacs boubelle 35 litre,11,88.44,143.0,54.56,0.0
130.0,Sacs boubelle 120 litre,6,106.2,138.0,31.8,0.0
131.0,Sacs boubelle 35 litre,7,147.0,182.0,35.0,0.0
132.0,Sacs boublle 30 litre,13,195.0,260.0,65.0,0.0
133.0,Sacs boublle 30 littre ,13,214.5,286.0,71.5,0.0
134.0,Sacs boubelle 60 litre,12,346.32,420.0,73.68,0.0
135.0,Sacs boubelle 50 litre,11,247.5,308.0,60.5,0.0
136.0,Sacs CONGELATION 20 ,3,36.54,48.0,11.46,0.0
137.0,LAVETTES 3 Unites,3,23.7,30.0,6.3,0.0
138.0,LAVETTES AVEC MOTIF 3 P,2,17.4,24.0,6.6,0.0
